Date,Open,High,Low,Close,Volume
2021-01-04,1.2248,1.2231,1.231,1.2223,0
2021-01-05,1.2294,1.2247,1.2307,1.2246,0
2021-01-06,1.2325,1.2296,1.235,1.2265,0
2021-01-07,1.227,1.2327,1.2346,1.2244,0
2021-01-08,1.2218,1.2273,1.2284,1.2191,0
2021-01-11,1.2149,1.2217,1.2227,1.2132,0
2021-01-12,1.2207,1.2152,1.2211,1.2136,0
2021-01-13,1.2157,1.2208,1.2224,1.214,0
2021-01-14,1.2156,1.2157,1.2179,1.2111,0
2021-01-15,1.2078,1.2155,1.2163,1.2074,0
2021-01-18,1.2076,1.2085,1.2091,1.2054,0
2021-01-19,1.2128,1.2078,1.2146,1.2074,0
2021-01-20,1.2104,1.2127,1.2158,1.2076,0
2021-01-21,1.2162,1.2106,1.2175,1.2103,0
2021-01-22,1.2167,1.2164,1.2191,1.2151,0
2021-01-25,1.2137,1.2168,1.2184,1.2115,0
2021-01-26,1.216,1.2138,1.2177,1.2107,0
2021-01-27,1.2108,1.216,1.217,1.2057,0
2021-01-28,1.2121,1.2109,1.2142,1.2079,0
2021-01-29,1.2136,1.2121,1.2156,1.2093,0
2021-02-01,1.2059,1.214,1.2146,1.2054,0
2021-02-02,1.2042,1.2059,1.2089,1.2011,0
2021-02-03,1.2034,1.2044,1.205,1.2003,0
2021-02-04,1.1962,1.2033,1.2043,1.1957,0
2021-02-05,1.2042,1.1964,1.205,1.1952,0
2021-02-08,1.2048,1.2042,1.2067,1.2019,0
2021-02-09,1.2117,1.2048,1.2122,1.2045,0
2021-02-10,1.2116,1.2119,1.2145,1.2108,0
2021-02-11,1.2128,1.2118,1.215,1.2112,0
2021-02-12,1.2118,1.213,1.2135,1.2081,0
2021-02-15,1.2127,1.2123,1.2146,1.2116,0
2021-02-16,1.2104,1.213,1.217,1.2095,0
2021-02-17,1.2036,1.2107,1.2111,1.2023,0
2021-02-18,1.2088,1.2037,1.2096,1.2035,0
2021-02-19,1.2117,1.2091,1.2145,1.2082,0
2021-02-22,1.2154,1.2117,1.217,1.2091,0
2021-02-23,1.2149,1.2155,1.2181,1.2135,0
2021-02-24,1.2164,1.215,1.2176,1.2109,0
2021-02-25,1.2176,1.2163,1.2243,1.2155,0
2021-02-26,1.2074,1.2176,1.2185,1.2062,0
2021-03-01,1.2047,1.2079,1.2102,1.2027,0
2021-03-02,1.2089,1.2049,1.2095,1.1991,0
2021-03-03,1.2062,1.2091,1.2113,1.2042,0
2021-03-04,1.1966,1.2063,1.2068,1.1961,0
2021-03-05,1.1917,1.1968,1.1978,1.1894,0
