Date,Open,High,Low,Close,Volume
2025-01-07 05:00:00,1.03822,1.03822,1.03811,1.03812,14
2025-01-07 05:01:00,1.03802,1.03805,1.038,1.03804,15
2025-01-07 05:02:00,1.03804,1.03808,1.03804,1.03807,9
2025-01-07 05:03:00,1.03812,1.03813,1.03812,1.03812,5
2025-01-07 05:04:00,1.03817,1.03819,1.03817,1.03819,7
2025-01-07 05:05:00,1.03817,1.03817,1.03812,1.03812,6
2025-01-07 05:06:00,1.03818,1.03818,1.03812,1.03812,8
2025-01-07 05:07:00,1.03814,1.03822,1.03814,1.03822,11
2025-01-07 05:08:00,1.03813,1.03813,1.03811,1.03813,7
2025-01-07 05:09:00,1.03812,1.03817,1.03812,1.03817,5
2025-01-07 05:10:00,1.03814,1.03814,1.03811,1.03811,5
2025-01-07 05:11:00,1.03812,1.03819,1.03812,1.03817,13
2025-01-07 05:12:00,1.03827,1.03827,1.03824,1.03824,10
2025-01-07 05:13:00,1.03827,1.03828,1.03827,1.03828,2
2025-01-07 05:14:00,1.03827,1.03828,1.03826,1.03828,6
2025-01-07 05:15:00,1.03827,1.03838,1.03826,1.03837,10
2025-01-07 05:16:00,1.03836,1.0384,1.03836,1.03838,7
2025-01-07 05:17:00,1.03837,1.03837,1.03832,1.03833,5
2025-01-07 05:18:00,1.03832,1.03835,1.03831,1.03834,8
2025-01-07 05:19:00,1.03832,1.03839,1.03832,1.03839,7
2025-01-07 05:20:00,1.03837,1.03843,1.03834,1.03843,7
2025-01-07 05:21:00,1.03842,1.03843,1.03837,1.03837,3
2025-01-07 05:22:00,1.03841,1.03842,1.0384,1.0384,3
2025-01-07 05:23:00,1.03837,1.03837,1.03836,1.03837,5
2025-01-07 05:24:00,1.03838,1.03843,1.03837,1.03843,8
2025-01-07 05:25:00,1.03841,1.03843,1.03841,1.03842,6
2025-01-07 05:26:00,1.03844,1.03846,1.03842,1.03842,9
2025-01-07 05:27:00,1.03847,1.03848,1.03844,1.03844,7
2025-01-07 05:28:00,1.03848,1.03854,1.03848,1.03853,8
2025-01-07 05:29:00,1.03851,1.03852,1.0385,1.0385,8
2025-01-07 05:30:00,1.03854,1.0386,1.03854,1.03859,7
2025-01-07 05:32:00,1.03877,1.03878,1.03877,1.03877,5
2025-01-07 05:33:00,1.03877,1.03878,1.03877,1.03878,2
2025-01-07 05:34:00,1.03881,1.03883,1.03881,1.03882,8
2025-01-07 05:35:00,1.03877,1.03878,1.03876,1.03877,9
2025-01-07 05:36:00,1.03873,1.03873,1.03871,1.03872,8
2025-01-07 05:37:00,1.03873,1.03875,1.03872,1.03874,10
2025-01-07 05:38:00,1.03876,1.03881,1.03876,1.0388,10
2025-01-07 05:39:00,1.03887,1.03897,1.03887,1.03897,7
2025-01-07 05:40:00,1.039,1.03902,1.03899,1.03902,6
2025-01-07 05:41:00,1.03902,1.03913,1.03902,1.03912,9
2025-01-07 05:42:00,1.03921,1.03922,1.03919,1.03922,9
2025-01-07 05:43:00,1.03925,1.03927,1.0392,1.03926,17
2025-01-07 05:44:00,1.03927,1.03927,1.03922,1.03922,2
2025-01-07 05:45:00,1.03922,1.03923,1.03922,1.03922,3
2025-01-07 05:46:00,1.03921,1.03922,1.03919,1.03919,7
2025-01-07 05:47:00,1.03912,1.03919,1.03912,1.03914,5
2025-01-07 05:49:00,1.03906,1.03908,1.03906,1.03907,5
2025-01-07 05:50:00,1.03907,1.03908,1.03906,1.03906,8
2025-01-07 05:51:00,1.03908,1.03908,1.03905,1.03906,6
2025-01-07 05:52:00,1.03901,1.03903,1.03899,1.03899,8
2025-01-07 05:53:00,1.03902,1.03911,1.03902,1.03911,6
2025-01-07 05:54:00,1.03912,1.03912,1.03908,1.03908,11
2025-01-07 05:55:00,1.03909,1.03913,1.03909,1.03912,4
2025-01-07 05:56:00,1.03913,1.03913,1.03912,1.03912,4
2025-01-07 05:57:00,1.03915,1.03919,1.03912,1.03919,10
2025-01-07 05:58:00,1.03923,1.03923,1.03918,1.03922,9
2025-01-07 05:59:00,1.0392,1.03921,1.0392,1.03921,4
2025-01-07 06:00:00,1.03925,1.03933,1.03925,1.03932,9
2025-01-07 06:01:00,1.03931,1.03931,1.03923,1.03923,6
2025-01-07 06:02:00,1.03922,1.03922,1.03916,1.03917,8
2025-01-07 06:03:00,1.03912,1.03913,1.03912,1.03913,2
2025-01-07 06:04:00,1.03909,1.0391,1.03907,1.03908,5
2025-01-07 06:05:00,1.03915,1.03915,1.0391,1.0391,10
2025-01-07 06:06:00,1.03912,1.03912,1.03908,1.0391,7
2025-01-07 06:07:00,1.0391,1.0391,1.03908,1.03908,2
2025-01-07 06:08:00,1.03908,1.03912,1.03907,1.03908,12
