Date,Open,High,Low,Close,Adj Close,Volume
2022-09-23,630.69,637.0,630.67,631.72,631.72,0
2022-09-26,634.63,637.75,630.83,633.2,633.2,0
2022-09-27,633.3,642.5,632.7,633.2,633.2,0
2022-09-28,633.3,641.05,632.12,631.1,631.1,0
2022-09-29,632.15,639.73,627.4,625.6,625.6,0
2022-09-30,627.4,634.68,625.57,624.38,624.38,0
2022-10-03,625.57,633.0,624.95,623.3,623.3,0
2022-10-04,626.55,631.37,624.95,625.35,625.35,0
2022-10-05,626.53,633.0,626.5,628.47,628.47,0
2022-10-06,629.21,637.17,629.2,634.1,634.1,0
2022-10-07,634.65,638.06,634.04,632.88,632.88,0
2022-10-10,636.96,637.5,631.06,628.38,628.38,0
2022-10-11,631.06,637.5,629.03,625.5,625.5,0
2022-10-12,629.63,630.95,625.91,624.28,624.28,0
2022-10-13,625.91,629.86,620.3,618.85,618.85,0
2022-10-14,620.3,625.76,616.05,614.35,614.35,0
2022-10-17,619.72,621.82,614.88,614.35,614.35,0
2022-10-18,616.05,617.43,613.4,613.98,613.98,0
2022-10-19,617.43,621.5,613.5,615.35,615.35,0
2022-10-20,615.55,622.67,615.53,619.35,619.35,0
2022-10-21,620.53,626.0,620.29,621.35,621.35,0
2022-10-24,621.97,626.42,620.28,621.23,621.23,0
2022-10-25,624.55,628.0,622.97,622.35,622.35,0
2022-10-26,623.53,628.03,621.89,622.35,622.35,0
2022-10-27,623.53,626.17,620.64,619.6,619.6,0
2022-10-28,620.9,625.0,617.84,615.88,615.88,0
2022-10-31,621.42,622.0,615.17,613.1,613.1,0
2022-11-01,615.17,619.96,614.86,614.13,614.13,0
2022-11-02,615.69,619.56,615.38,616.3,616.3,0
2022-11-03,617.47,623.95,616.46,619.97,619.97,0
2022-11-04,621.36,628.0,617.5,615.0,615.0,0
2022-11-07,617.5,628.0,617.38,617.88,617.88,0
2022-11-08,618.81,628.0,616.25,615.1,615.1,0
2022-11-09,616.65,625.97,615.1,612.0,612.0,0
2022-11-10,615.1,619.74,609.38,608.0,608.0,0
2022-11-11,609.38,614.5,609.25,608.0,608.0,0
2022-11-14,611.86,614.5,607.88,608.0,608.0,0
2022-11-15,609.38,615.0,607.88,610.0,610.0,0
2022-11-16,612.5,615.0,610.68,609.93,609.93,0
2022-11-17,610.92,614.5,610.27,609.35,609.35,0
2022-11-18,610.53,614.5,607.28,605.85,605.85,0
2022-11-21,612.28,613.5,606.9,605.1,605.1,0
2022-11-22,606.9,609.03,603.92,605.1,605.1,0
2022-11-23,606.9,608.7,603.92,605.38,605.38,0
