Date,Open,High,Low,Close,Adj Close,Volume
2024-07-02,524.74,527.5,523.4,524.5,524.5,0
2024-07-03,525.25,527.78,523.4,524.5,524.5,0
2024-07-04,526.54,527.06,524.73,524.5,524.5,0
2024-07-05,525.25,534.63,524.73,534.63,534.63,0
2024-07-08,534.63,534.63,527.5,534.63,534.63,0
2024-07-09,534.63,534.63,530.28,533.75,533.75,0
2024-07-10,533.75,533.75,527.05,533.75,533.75,0
2024-07-11,529.2,529.64,524.43,522.35,522.35,0
2024-07-12,524.9,529.5,522.47,519.45,519.45,0
2024-07-15,522.53,529.5,520.5,518.62,518.62,0
2024-07-16,521.7,523.95,521.7,520.87,520.87,0
2024-07-17,523.95,523.95,520.5,519.65,519.65,0
2024-07-18,522.72,523.3,520.5,520.23,520.23,0
2024-07-19,523.3,529.74,520.5,529.74,529.74,0
2024-07-22,525.61,530.27,520.5,529.74,529.74,0
2024-07-23,529.74,530.5,527.54,530.13,530.13,0
2024-07-24,530.13,530.3,524.86,528.75,528.75,0
2024-07-25,528.75,529.3,525.13,528.75,528.75,0
2024-07-26,528.75,529.17,525.13,529.17,529.17,0
2024-07-29,529.17,529.5,525.07,529.17,529.17,0
2024-07-30,529.17,529.2,524.51,522.02,522.02,0
2024-07-31,525.09,525.59,524.38,521.33,521.33,0
2024-08-01,524.41,527.55,522.3,523.12,523.12,0
2024-08-02,522.72,523.9,522.32,521.0,521.0,0
2024-08-05,528.75,529.06,522.8,528.74,528.74,0
2024-08-06,528.74,528.74,522.45,528.27,528.27,0
2024-08-07,528.27,529.59,521.28,528.55,528.55,0
2024-08-08,528.55,529.98,521.28,529.48,529.48,0
2024-08-09,529.48,530.5,526.63,526.22,526.22,0
2024-08-12,529.48,530.11,527.48,529.48,529.48,0
2024-08-13,529.48,529.86,524.5,523.71,523.71,0
2024-08-14,526.0,527.85,522.38,526.0,526.0,0
2024-08-15,526.0,526.0,519.31,526.0,526.0,0
2024-08-16,526.0,528.55,519.31,516.62,516.62,0
2024-08-19,519.7,521.4,518.29,515.6,515.6,0
2024-08-20,518.67,518.88,517.85,515.08,515.08,0
2024-08-21,518.16,525.89,518.16,525.89,525.89,0
2024-08-22,525.89,526.5,520.04,526.11,526.11,0
2024-08-23,526.11,526.59,518.07,526.11,526.11,0
2024-08-26,523.98,528.0,523.28,528.0,528.0,0
2024-08-27,528.0,528.0,523.01,525.99,525.99,0
2024-08-28,525.99,526.53,520.28,517.76,517.76,0
2024-08-29,520.84,524.86,518.47,515.95,515.95,0
2024-08-30,519.03,519.09,518.38,515.75,515.75,0
2024-09-02,518.83,519.24,518.71,515.75,515.75,0
2024-09-03,518.83,518.99,514.89,512.77,512.77,0
2024-09-04,515.84,518.82,515.84,516.0,516.0,0
2024-09-05,518.55,525.24,518.22,525.24,525.24,0
2024-09-06,525.24,526.3,518.8,526.3,526.3,0
2024-09-09,526.3,526.3,521.3,525.72,525.72,0
2024-09-10,525.72,525.72,519.04,516.38,516.38,0
2024-09-11,519.46,519.46,516.3,515.0,515.0,0
2024-09-12,517.71,518.52,517.16,516.0,516.0,0
2024-09-13,517.96,518.02,517.38,514.75,514.75,0
2024-09-16,517.83,518.82,517.38,514.79,514.79,0
2024-09-17,517.86,517.97,516.87,514.21,514.21,0
2024-09-18,517.28,518.05,517.1,515.0,515.0,0
2024-09-19,516.96,518.45,516.96,515.21,515.21,0
2024-09-20,518.28,518.9,517.64,515.66,515.66,0
2024-09-23,518.73,519.0,518.33,515.84,515.84,0
2024-09-24,518.91,519.83,518.79,516.5,516.5,0
2024-09-25,517.64,525.0,517.22,525.0,525.0,0
2024-09-26,525.0,526.56,517.61,521.12,521.12,0
2024-09-27,524.2,524.2,518.16,516.65,516.65,0
2024-09-30,519.72,520.01,518.18,516.86,516.86,0
2024-10-01,519.93,519.93,517.2,514.5,514.5,0
2024-10-02,518.13,518.13,515.03,512.68,512.68,0
2024-10-03,515.76,519.3,515.76,516.23,516.23,0
2024-10-04,519.3,521.2,518.28,515.56,515.56,0
2024-10-07,518.64,520.93,518.34,517.36,517.36,0
2024-10-08,520.78,520.78,518.08,515.16,515.16,0
2024-10-09,518.23,518.23,516.13,514.0,514.0,0
2024-10-10,516.33,518.49,515.63,513.7,513.7,0
2024-10-11,516.78,517.7,516.25,515.0,515.0,0
2024-10-14,517.33,517.33,515.14,512.34,512.34,0
2024-10-15,515.41,516.59,513.05,511.11,511.11,0
2024-10-16,514.18,515.04,513.97,511.2,511.2,0
2024-10-17,514.28,514.86,513.1,511.58,511.58,0
2024-10-18,514.66,514.66,513.42,511.49,511.49,0
2024-10-21,513.92,514.78,512.9,511.15,511.15,0
2024-10-22,514.22,516.67,513.84,513.2,513.2,0
2024-10-23,516.28,516.28,514.72,512.44,512.44,0
2024-10-24,515.52,515.79,514.58,513.0,513.0,0
2024-10-25,515.26,516.21,514.45,513.13,513.13,0
2024-10-28,516.2,516.2,513.04,510.08,510.08,0
2024-10-29,513.4,513.78,512.43,510.22,510.22,0
2024-10-30,513.3,513.3,512.1,509.29,509.29,0
2024-10-31,512.37,512.81,512.13,510.0,510.0,0
2024-11-01,512.34,513.67,511.63,510.14,510.14,0
2024-11-04,513.21,513.5,510.64,508.27,508.27,0
2024-11-05,511.35,512.89,511.33,509.62,509.62,0
2024-11-06,512.69,512.69,511.37,508.74,508.74,0
2024-11-07,511.82,511.95,510.94,508.42,508.42,0
2024-11-08,511.5,512.61,511.09,509.07,509.07,0
2024-11-11,512.15,512.74,511.75,508.67,508.67,0
2024-11-12,511.75,511.75,510.16,508.65,508.65,0
2024-11-13,510.61,510.95,510.38,507.75,507.75,0
2024-11-14,510.83,511.3,507.92,506.11,506.11,0
2024-11-15,509.03,509.38,507.9,506.21,506.21,0
2024-11-18,509.29,509.29,507.71,505.41,505.41,0
2024-11-19,508.49,508.98,507.71,505.57,505.57,0
2024-11-20,508.39,508.39,506.51,507.88,507.88,0
